"Specimen","lon","lat"
"JDL576-CA08-2013--Bv",-119.4462,37.8458
"JDL577-CA08-2013--Bv",-119.4462,37.8458
"JDL578-CA08-2013--Bv",-119.4462,37.8458
"JDL592-CA09-2013--Bv",-119.6409,37.7245
"JDL594-CA09-2013--Bv",-119.6409,37.7245
"JDL595-CA09-2013--Bv",-119.6409,37.7245
"JDL596-CA09-2013--Bv",-119.6409,37.7245
"JDL597-CA09-2013--Bv",-119.6409,37.7245
"JDL599-CA09-2013--Bv",-119.6409,37.7245
"JDL600-CA09-2013--Bv",-119.6409,37.7245
"JDL601-CA09-2013--Bv",-119.6409,37.7245
"JDL602-CA09-2013--Bv",-119.6409,37.7245
"JDL603-CA09-2013--Bv",-119.6409,37.7245
"JDL604-CA09-2013--Bv",-119.6409,37.7245
"JDL606-CA10-2013--Bv",-120.3674,37.9731
"JDL607-CA10-2013--Bv",-120.3674,37.9731
"JDL609-CA10-2013--Bv",-120.3674,37.9731
"JDL611-CA10-2013--Bv",-120.3674,37.9731
"JDL612-CA10-2013--Bv",-120.3674,37.9731
"JDL613-CA10-2013--Bv",-120.3674,37.9731
"JDL614-CA10-2013--Bv",-120.3674,37.9731
"JDL615-CA10-2013--Bv",-120.3674,37.9731
"JDL619-CA11-2013--Bv",-120.3262,39.3161
"JDL620-CA11-2013--Bv",-120.3262,39.3161
"JDL621-CA11-2013--Bv",-120.3262,39.3161
"JDL622-CA11-2013--Bv",-120.3262,39.3161
"JDL623-CA11-2013--Bv",-120.3262,39.3161
"JDL624-CA11-2013--Bv",-120.3262,39.3161
"JDL625-CA11-2013--Bv",-120.3262,39.3161
"JDL626-CA11-2013--Bv",-120.3262,39.3161
"JDL627-CA11-2013--Bv",-120.3262,39.3161
"JDL628-CA11-2013--Bv",-120.3262,39.3161
"JDL629-CA11-2013--Bv",-120.3262,39.3161
"JDL630-CA11-2013--Bv",-120.3262,39.3161
"JDL631-CA12-2013--Bv",-120.9657,39.1382
"JDL633-CA12-2013--Bv",-120.9657,39.1382
"JDL634-CA12-2013--Bv",-120.9657,39.1382
"JDL635-CA12-2013--Bv",-120.9657,39.1382
"JDL636-CA12-2013--Bv",-120.9657,39.1382
"JDL637-CA12-2013--Bv",-120.9657,39.1382
"JDL638-CA12-2013--Bv",-120.9657,39.1382
"JDL639-CA12-2013--Bv",-120.9657,39.1382
"JDL641-CA12-2013--Bv",-120.9657,39.1382
"JDL642-CA12-2013--Bv",-120.9657,39.1382
"JDL643-CA12-2013--Bv",-120.9657,39.1382
"JDL644-CA12-2013--Bv",-120.9657,39.1382
"JDL645-CA12-2013--Bv",-120.9657,39.1382
"JDL655-CA13-2013--Bv",-122.2964,41.1625
"JDL656-CA13-2013--Bv",-122.2964,41.1625
"JDL657-CA13-2013--Bv",-122.2964,41.1625
