"Specimen","lon","lat"
"JDL1306-CA17-2015--Bb",-119.1957,37.2169
"JDL1307-CA17-2015--Bb",-119.1957,37.2169
"JDL1308-CA17-2015--Bb",-119.1957,37.2169
"JDL1309-CA17-2015--Bb",-119.1957,37.2169
"JDL1310-CA17-2015--Bb",-119.1957,37.2169
"JDL1311-CA17-2015--Bb",-119.1957,37.2169
"JDL1320-CA18-2015--Bb",-119.2914,37.8784
"JDL1321-CA18-2015--Bb",-119.2914,37.8784
"JDL1323-CA19-2015--Bb",-119.3056,37.8804
"JDL1324-CA19-2015--Bb",-119.3056,37.8804
"JDL1325-CA19-2015--Bb",-119.3056,37.8804
"JDL1328-CA20-2015--Bb",-119.3546,37.8767
"JDL1331-CA20-2015--Bb",-119.3546,37.8767
"JDL1333-CA20-2015--Bb",-119.3546,37.8767
"JDL1336-CA20-2015--Bb",-119.3546,37.8767
"JDL1337-CA20-2015--Bb",-119.3546,37.8767
"JDL1338-CA20-2015--Bb",-119.3546,37.8767
"JDL1339-CA20-2015--Bb",-119.3546,37.8767
"JDL1340-CA20-2015--Bb",-119.3546,37.8767
"JDL1341-CA20-2015--Bb",-119.3546,37.8767
"JDL1349-CA18-2015--Bb",-119.2914,37.8784
"JDL1350-CA21-2015--Bb",-119.2613,37.9472
"JDL1351-CA21-2015--Bb",-119.2613,37.9472
"JDL1352-CA21-2015--Bb",-119.2613,37.9472
"JDL1353-CA21-2015--Bb",-119.2613,37.9472
"JDL1364-CA23-2015--Bb",-119.6781,38.323
"JDL1365-CA23-2015--Bb",-119.6781,38.323
"JDL1369-CA23-2015--Bb",-119.6781,38.323
"JDL1372-CA23-2015--Bb",-119.6781,38.323
"JDL1375-CA23-2015--Bb",-119.6781,38.323
"JDL1377-CA23-2015--Bb",-119.6781,38.323
"JDL1378-CA23-2015--Bb",-119.6781,38.323
"JDL1386-CA24-2015--Bb",-119.6433,38.3325
"JDL1387-CA24-2015--Bb",-119.6433,38.3325
"JDL1388-CA24-2015--Bb",-119.6433,38.3325
"JDL1389-CA24-2015--Bb",-119.6433,38.3325
"JDL1392-CA24-2015--Bb",-119.6433,38.3325
"JDL1393-CA24-2015--Bb",-119.6433,38.3325
"JDL1396-CA24-2015--Bb",-119.6433,38.3325
"JDL1397-CA24-2015--Bb",-119.6433,38.3325
"JDL1398-CA24-2015--Bb",-119.6433,38.3325
"JDL1400-CA24-2015--Bb",-119.6433,38.3325
"JDL1406-CA25-2015--Bb",-120.142,39.2301
"JDL1409-CA25-2015--Bb",-120.142,39.2301
"JDL1410-CA25-2015--Bb",-120.142,39.2301
"JDL1413-CA25-2015--Bb",-120.142,39.2301
"JDL1415-CA25-2015--Bb",-120.142,39.2301
"JDL1416-CA25-2015--Bb",-120.142,39.2301
"JDL1417-CA25-2015--Bb",-120.142,39.2301
"JDL1418-CA25-2015--Bb",-120.142,39.2301
"JDL1419-CA25-2015--Bb",-120.142,39.2301
"JDL1429-CA26-2015--Bb",-121.0644,40.5672
"JDL1430-CA26-2015--Bb",-121.0644,40.5672
"JDL1431-CA26-2015--Bb",-121.0644,40.5672
"JDL1434-CA26-2015--Bb",-121.0644,40.5672
"JDL706-OR01-2014--Bb",-122.3671,43.0337
"JDL708-OR01-2014--Bb",-122.3671,43.0337
"JDL709-OR01-2014--Bb",-122.3671,43.0337
"JDL710-OR01-2014--Bb",-122.3671,43.0337
"JDL711-OR01-2014--Bb",-122.3671,43.0337
"JDL713-OR01-2014--Bb",-122.3671,43.0337
"JDL714-OR01-2014--Bb",-122.3671,43.0337
"JDL715-OR01-2014--Bb",-122.3671,43.0337
"JDL716-OR01-2014--Bb",-122.3671,43.0337
"JDL1435-CA26-2015--Bb",-121.0644,40.5672
"JDL1437-OR03-2015--Bb",-122.2012,42.3962
"JDL1439-OR03-2015--Bb",-122.2012,42.3962
"JDL1445-OR03-2015--Bb",-122.2012,42.3962
"JDL1446-OR03-2015--Bb",-122.2012,42.3962
"JDL1447-OR03-2015--Bb",-122.2012,42.3962
"JDL1449-OR03-2015--Bb",-122.2012,42.3962
"JDL1452-OR03-2015--Bb",-122.2012,42.3962
"JDL1453-OR03-2015--Bb",-122.2012,42.3962
"JDL1454-OR03-2015--Bb",-122.2012,42.3962
"JDL1465-OR04-2015--Bb",-122.1811,42.5429
"JDL1466-OR04-2015--Bb",-122.1811,42.5429
"JDL1467-OR04-2015--Bb",-122.1811,42.5429
"JDL1468-OR04-2015--Bb",-122.1811,42.5429
"JDL1469-OR04-2015--Bb",-122.1811,42.5429
"JDL1470-OR04-2015--Bb",-122.1811,42.5429
"JDL1471-OR04-2015--Bb",-122.1811,42.5429
"JDL1472-OR04-2015--Bb",-122.1811,42.5429
"JDL1473-OR04-2015--Bb",-122.1811,42.5429
"JDL1474-OR04-2015--Bb",-122.1811,42.5429
"JDL1475-OR04-2015--Bb",-122.1811,42.5429
"JDL1476-OR04-2015--Bb",-122.1811,42.5429
"JDL1485-OR05-2015--Bb",-121.8376,44.2495
"JDL1486-OR05-2015--Bb",-121.8376,44.2495
"JDL1487-OR05-2015--Bb",-121.8376,44.2495
"JDL1488-OR05-2015--Bb",-121.8376,44.2495
"JDL1489-OR05-2015--Bb",-121.8376,44.2495
"JDL1490-OR05-2015--Bb",-121.8376,44.2495
"JDL1491-OR05-2015--Bb",-121.8376,44.2495
"JDL1901-CA32-2015--Bb",-122.1982,41.3584
"JDL1902-CA32-2015--Bb",-122.1982,41.3584
"JDL1903-CA32-2015--Bb",-122.1982,41.3584
"JDL1908-CA32-2015--Bb",-122.1982,41.3584
"JDL1909-CA32-2015--Bb",-122.1982,41.3584
"JDL1910-CA32-2015--Bb",-122.1982,41.3584
"JDL2954-OR02-2016--Bb",-122.4163,43.7091
"JDL3060-WA16-2016--Bb",-121.0682,47.8041
"JDL3078-WA17-2016--Bb",-120.7139,47.8086
"JDL3115-OR03-2016--Bb",-121.7078,45.3341
"JDL3116-OR03-2016--Bb",-121.7078,45.3341
